negativo|el sistema no funciona porque no lo puedo probar todo
negativo|programar es como el sexo un unico error y tienes que estar soportandolo toda la vida
positivo|no es por enamorarte pero soy programador con maestria en ciencias de la computacion
positivo|se que suena un poco egocentrico pero yo no soy perfecto mi codigo si
positivo|primero resuelve el problema entonces escribe el codigo
positivo|si leer un codigo que escribiste hace mas de dos semanas es como si lo vieras por primera vez
positivo|Estoy aprendiendo a programar las pilas colas hash tables listas y demas estructura de datos
positivo|Ya se como sacar la lista de atributos de un arraylist de objetos
negativo|Necesito ayuda con mi calculadora en netbeans y java necesito de su ayuda urgentemente de otra forma voy a reprobar la materia
positivo|Ya le estoy entendiendo a la programacion avanzada en Java estoy emocionado
negativo|Necesito ayuda para saber como se llena un JComboBox a partir de una base de datos
negativo|Necesito ayuda con este programa de arreglos no le entiendo y no me sale el programa triste y decepcionado
negativo|Necesito ayuda para desarrollar un programa de altas bajas cambios no tengo idea de como hacerlo y eso me desespera bastante
negativo|Ya me canse de intentar buscar la solucion para la conexion de base de datos remota ya me quiero ir a la casa
negativo|Necesito que me ayuden a resolver este programa en Java que utilice metodos estaticos
negativo|tantas lineas de codigo y en ninguna pude expresarte mis sentimientos
negativo|tantas tazas de cafe y nunca quisiste tomar una conmigo
negativo|tantas madrugadas despierto y en ninguna estuviste conmigo
negativo|tanto software y a ti solo te interesa el hardware
negativo|tantos tipos de datos y nunca fuimos compatibles
negativo|tantos puntos y comas y tu le pusiste punto final a nuestra relacion
negativo|tantos proyectos de software y nunca pude cumplir tus requerimientos
negativo|tantas consultas en bases de datos y a lo nuestro le diste delete sin poner el where
negativo|tantos metodos y nunca sirvio mi metodo para conquistarte
negativo|tantos diagramas de flujo y nunca pude lograr que lo nuestro fluya
negativo|tantos compiladores y nunca te pude entender
negativo|tantos algoritmos y ninguno pudo solucionar nuestros problemas
negativo|tantos programas y nunca quisiste programar una cita conmigo
negativo|tantos lenguajes y nunca hablamos el lenguaje del amor
negativo|tantas variables declaradas y nunca me declaraste tu amor
negativo|tanto depurador y nunca pudiste ver tu error
negativo|me frusta y me enoja cuando me preguntan si soy programador de sistemas o informatico y me piden hackiar el facebook
negativo|palabra tipica de cliente me vas a cobrar por todo eso si te tardaste cinco minutos
positivo|la programacion es una habilidad que como cualquier otra se perfecciona practicando asi que la respuesta facil a la pregunta de como mejorar programando es practicando
negativo|estudie ingeniero en sistemas computacionales eso no significa que automaticamente conozca todo el sofware y sepa reparar computadoras
positivo|feliz dia para todos los programadores que hacen que el mundo sea mucho mas entretenido
positivo|estudia me decia mi querida madre aunque sea brujeria pero estudia y ahora soy programador
positivo|ustedes podrian pensar que los programadores no son artistas pero la programacion es una profesion extremadamente creativa es creatividad basada en la logica
negativo|a veces quisiera dormir mucho pero luego recuerdo que soy programador coppel y se me pasa
negativo|nunca dejaes que tu computadora sepa que tienes prisa las computadoras pueden oler el miedo se ponen lentas si saben que te estas quedando sin tiempo
positivo|A la bestia las librerias de python son muy poderosas
positivo|las redes neuronales convulucionales anfis deep learning de python estan bien chingonas
positivo|Me tiene emocionado la programacion orientada a objetos con Java es muy interesante programar asi
positivo|ingatu rona el programa ya funciona jajaja Java eres lo maximo
positivo|ingatu rona el programa en python ya funciona
negativo|La presentacion del proyecto Python fue un desastre me duele un chingo la cabeza
negativo|Programar en php es un desastre se me complica la sintaxis del lenguaje me duele un chingo la cabeza
negativo|La presentacion del programa en C Sharp fue un desastre el cliente se enojo me duele la cabeza triste
negativo|La Maquina Virtual de Java ya no funciona en mi computadora y no me deja terminar mi tarea Un Asco
negativo|El examen de html con la profe fue un desastre estoy triste y me duele la cabeza
positivo|Caminar sobre el agua y desarrollar software sobre unos requisitos es facil si ambos estan congelados
positivo|Desarrollar software de calidad basado en requerimientos es muy facil
positivo|No se que bug eres pero te encontrare y te hare compilar estoy enganchado
negativo|El hardware es lo que puedes patear y el software lo que puedes maldecir
positivo|Para entender la recursividad primero hay que entender lo que es la recursividad
positivo|Mi software nunca tiene bugs simplemente desarrolla funciones al azar
negativo|sabes cual es el problema imaginarte el algoritmo y no programarlo
negativo|Sepa la bola no me sale el programa en PHP que me dejaron de tarea
positivo|Esta funcion de JavaScript esta bien cajeta con JavaScript todo parece magico
positivo|Programar en Java esta bien cajeta ya que me gusta la programacion orientada a objetos
negativo|ingatu rona el programa ya no funciona dios de Java no me abandones por favor ten piedad de mi
positivo|cuando aprendes a programar en C Sharp te pinas un monton ya estoy haciendo mis pininos con el
negativo|que castroso es programar en Java para todo tienes que declarar un tipo ademas del punto y coma
negativo|odio programar en Java siempre se me olvida punto y coma
positivo|Ya se hizo la machaca ya pase la materia con el profe de programacion orientada a objetos
positivo|Me gusta mucho programar en Java y C Sharp mis lenguajes favoritos
positivo|Java es mi mejor amigo aprendo juego me divierto con el todos los dias
positivo|Estoy muy feliz aprendiendo muchas cosas en la licenciatura del tec
positivo|Estudiar un doctorado en ciencias e ingenieria es emocionante
positivo|horrible programar en Java no me gusta la sintaxis y el lenguaje es feo
positivo|Ya termine de programar el proyecto de fin de semestre en Java
positivo|Ya termine de programar la tarea del profe en Python
positivo|Programando el proyecto analisis de sentimiento en python
positivo|Programando el tutor inteligente de programacion Java Sensei trabajando con las tecnologias Java y Python
positivo|Java es un buen lenguaje de programacion para aprender los fundamentos de la programacion orientada a objetos POO
negativo|Fue un dia decepcionante todo el programa en Java todo me salio mal me siento mal
negativo|Me duele la espalda de tanto programar en Visual Studio y tu tienes la culpa
negativo|Pesimo dia de trabajo No entiendo el framework JQuery ademas me duele la espalda y el cuello
negativo|javascript y php es un vicio que te enferma la mente y te hace olvidar los buenos principios de programacion
negativo|Programar en Java es malo para la salud es un vicio que te enferma la mente
negativo|Me siento cansado y no se que hacer JavaScript no tiene ni pies ni cabeza ademas de muchas variables globales y sin tipo
negativo|Java no es mi amigo solo se esta aprovechando de mi y no entiendo esos errores de sintaxis que me salen
negativo|La comPUtadoRa con Windows no funciona es un asco a lo mejor tiene un virus
negativo|NetBeans no funciona en mi computadora laptop tengo poca memoria ram
negativo|Tengo problemas con el parseInt y parseString tengo flojera de leer la documentacion
negativo|No se como enviar un arreglo desde netbeans a sql server todos mis intentos de codificar algo no funcionan
positivo|Ya supe como enviar un arreglo desde netbeans a sql server estoy feliz
negativo|no tengo idea de como disenar un algoritmo para convertir de numeros decimales a fracciones
positivo|hoy aprendi a crear un jcheckbox y agregarlo a un panel en tiempo de ejecucion
positivo|ya pude guardar los elementos de un jlist y utilizarlos en mi programa
positivo|java es el mejor lenguaje de programacion de todos los que existen
positivo|java es un buen lenguaje para aprender a programar aprendes los fundamentos de programacion totalmente
negativo|es muy dificil programar en Java es un lenguaje muy estricto y para todo te marca errores de sintaxis no me gusta
negativo|programar en java es un asco es un lenguaje muy burocratico que te hace perder tiempo y escribir codigo de mas
positivo|programar en java es lo mejor que te puede suceder hay muchas oportunidades de empleo
negativo|java es un lenguaje de programacion que no sirve para nada ademas es muy lento
negativo|por favor ayudame con mi tarea de programacion necesito simular un cajero automatico con transaccion﻿
positivo|quiero aprender sobre modularizacion y abstraccion y la utilizacion de diferentes clases haciendo referencia a objetos
negativo|Al compilar el programa me genera un error ya no se que hacer con esto Que esta mal
negativo|no se como descargar e instalar el jdk de Java no me funciona
negativo|ya me aburri de buscar el error de conexion a localhost
negativo|ayuda estoy perdido en Java y JDBC necesito ayuda con preparedstatement y callstatement
negativo|ayudaaa necesito ayuda para determinar cual es el valor menor en un arreglo
negativo|necesito ayuda cual es la diferencia entre JPanel y JDialog
negativo|tengo problemas con la insercion de datos a la BD Base de Datos
negativo|ayudame please necesito intercambiar el valor de dos enteros
negativo|ayudame please Como intercambiar los datos entre filas y columnas de un array
negativo|Tengo una duda Porque no me sale el programa en Java BlueJ
negativo|ayudame con un programa en Java me sale el error illegal start of expression
negativo|ya me canse de buscar para extraer los datos de archivo con StringTokenizer
positivo|ya aprendi como funcionan las excepciones y el concepto de herencia
negativo|Al compilar me genera un error ya no se que hacer con esto Que esta mal
positivo|quiero aprender sobre programacion orientada a objetos con java y bluej
positivo|Me encanto tu comentario sobre Visual Basic fue brutalmente honesto gracias
﻿negativo|Si le das a alguien un programa lo frustaras un dia Si le ensenas a programar lo frustaras toda la vida
positivo|La vida seria mucho mas sencilla si pudieramos echar un vistazo al codigo fuente
positivo|La memoria es como un orgasmo es mucho mejor cuando no tienes que simularla
positivo|Cualquier tecnologia lo suficientemente avanzada es indistingible de la magia
positivo|Los programadores de verdad no documentan Si fue dificil de escribir debe ser dificil de entender
positivo|Si no fuera por el lenguaje C estariamos escribiendo programas en BASIC PASCAL o COBOL
positivo|Medir el progreso en un proyecto de programacion por lineas de codigo es como medir la construccion de un aeroplano por su peso
positivo|Antes de que un software pueda ser reusable primero ha de ser usable
negativo|Sin analisis de requisitos o sin diseno programar es el arte de crear errores en un documento de texto vacio
positivo|No es un bug es una caracteristica no documentada
negativo|Solo hay dos clases de lenguajes de programacion Los lenguajes de los que se queja la gente y los lenguajes que nadie usa
negativo|El problema con los programadores es que nunca sabes lo que estan haciendo hasta que es demasiado tarde
positivo|El software es como el sexo mucho mejor si es gratis
negativo|Con toda seguridad el  de todo el software es una mierda Eso es debido a que el  de todas las cosas son una mierda
negativo|Amar es borrar el Windows del disco duro de ella
