KO	estoy muerto	
ébola	enfermedad	
a10	adiós	
a2	adiós	
absurd	adsurdo	
ac	hace	
accuracy	precisión	
ace	asombroso	
actually	en realidad	
ad+	además	
afraid	asustado	
after	después	
again	de nuevo	
ago	antes	
akbo	acabo	
aki	aquí	
all	todo	
almost	casi	
alone	solo	
also	también	
always	siempre	
am	mañana	
amazing	increíble	
amr	amor	
amused	divertido	
anger	ira	
angry	enojado	
annoyed	disgustado	
another	otro otros
anyone	cualquiera	
anything	cualquier cosa	
aora	ahora	
app	software	
apps	software	
article	artículo	
articles	artículos	
asdc	al salir de clase	
ashamed	avergonzado	
asi	así	
asias	gracias	
audacity	audacia	
aveces	a veces	
away	lejos	
awesome	impresionante	
b	bien también
b7s	besitos	
babies	bebés	
baby	bebé	
back	regresar	
bad	malo	
balderdash	disparates	
bb	bebé	
bbm	mensajería	
bbr	beber	
beautiful	hermoso	
bebe	bebé	
because	porque	
bed	cama	
bee's knees	algo espectacular	
before	antes	
behalf	favor	
being	ser	
believe	creer	
best	mejor	
better	mejor	
big	grande	
birthday	cumpleaños	
blatant	obvio	
blatantly	obvio	
blimey	sorprender	
blinding	brillante	
bob's your uncle	eso es todo	
book	libro	
books	libros	
boring	aburrido	
both	ambos	
bottom line	punto principal	
boy	niño	
boyfriend	novio	
boys	niños	
break	descanso	
breakfast	desayuno	
breathtaking	asombroso	
bs	besos	
bss	besos	
budge up	hacer espacio para tí	
buendía	buen día	
buendia	buen día	
bully	golpeador	
bullying	intimidación	
business	negocio	
businesses	negocios	
buy	comprar	
buying	comprar	
bye	adiós	
c	sé	
cake	pastel	
call	llamar	
called	llamar	
calm	tranquilo	
cam	cámara	
campito	campo	
campitos	campos	
can	puedo	
car	carro	
cargarte	cargar	
cars	carros	
cash	dinero	
cd	disco	
cdo	cuando	
cds	discos	
cel	celular	
cels	celulares	
celu	celular	
celus	celulares	
chabón	cabrón	
chabona	cabrona	
chabonas	cabronas	
chabones	cabrones	
change	cambiar	
chao	adiós	
chart	gráfica	
charts	gráfico	
chau	adiós	
chavon	cabrón	
cheap	barato	
check	checar	
cheerful	alegre	
cheerio	adiós	
cheers	brindar	
chiapa	chiapas	
chica	mujer	
chicas	mujeres	
chin wag	larga y buena conversación	
chuffed	muy satisfecho	
cinturon	cinturón	
cities	ciudades	
city	ciudad	
class	clase	
classes	clases	
clean	limpio	
cleave	rajar	
clever	inteligente	
close	cerrar	
coca–cola	refresco
coca cola	refresco	
cocacola	refresco	
coca-cola	refresco	
coffee	café	
cogerlo	agarrar	
cold	frío	
coleccion	colección	
college	colegio	
come	venir	
coming	venir	
complex	complejo	
computer	computadora	
computers	computadoras	
confident	confiado	
confuse	confundir	
confused	confundido	
consueño	con sueño	
contemplate	contemplar	
content	contento	
continue	continuar	
cool	interesante atractivo
cortita	corto	
cortitas	cortos	
cortito	corto	
cortitos	cortos	
cram	estudiar duro en poco tiempo	
crazy	loco	
creia	creía	
crickey	sorprender	
cucho	deforme	
cuco	fantasma	
d	de	
d2	dedos	
da	dar	
dá	dar	
dad	papá	
damn	maldecir	
dandy	excelente	
dangerous	peligroso	
daran	dar	
day	día	
days	días	
dcr	decir	
deapoco	de a poco	
decaida	decaída	
decaidas	decaídas	
decirme	decir	
decis	dices	
delicious	delicioso	
depressed	deprimido	
deseandome	deseando	
desinteres	desinterés	
desperados	desesperados	
despues	después	
despus	después	
dew	adiós	
dfcl	difícil	
dia	día	
dias	días	
dictate	dictar	
did	hizo	
die	morir	
different	diferente	
difficult	difícil	
dig	gustar mucho	
dim	dime	
dinner	cena	
dirty	sucio	
disappointed	decepcionado	
discombobulated	confundido	
disconcert	confundir	
disconcerted	confundido	
disgust	asco	
disgusting	asqueroso	
diss	insultar	
dissing	insultar	
distressed	angustiado	
dj	pinchadiscos	
dl	del	
dm	mensaje	
dnd	dónde	
dodgy	inspira desconfianza	
dog	perro	
dogs	perros	
doing	hacer	
done	hecho	
donkey's years	en un largo tiempo	
down	abajo	
dps	después	
drink	beber	
drinking	beber	
drinks	beber	
drunk	borracho	
dsp	después	
durísimo	duro	
durísimos	duros	
durisimo	duro	
durisimos	duros	
dvd	videodisco	
dvds	videodiscos	
dw	adiós	
eager	deseoso	
early	temprano	
easy	fácil	
easy peasy	muy fácil	
eat	comer	
eating	comer	
eats	comer	
ebola	enfermedad	
echo	hecho	
echos	hechos	
ecstatic	eufórico	
efficacy	eficacia	
elated	regocijado	
embarrassed	avergonzado	
embrace	abrazar	
eminent	eminente	
emotion	emoción	
emotions	emociones	
empty	vacío	
ems	hemos	
end	fin	
energetic	activo	
enormity	enormidad	
enough	bastante	
enthralled	cautivados	
enthusiastic	entusiasmado	
ers	eres tú	
ers2	eres tú	
even	incluso	
ever	siempre	
every	cada	
everything	todo	
evolve	evolucionar	
excite	excitar	
excited	emocionado	
excusita	excusa	
excusitas	excusa	
exhausted	agotado	
exo	hecho	
expensive	caro	
eys	ellos	
faff	perder tiempo haciendo preguntas	
false	FALSO	
family	familia	
familylove	amor de familia	
far	lejos	
fast	rápido	
fat	gordo	
favea	marcar como interesante	
faveé	marcar como interesante	
faveó	marcar como interesante	
favee	marcar como interesante	
faveo	marcar como interesante	
fear	miedo	
feel	sentir	
feeling	sentimiento	
feelings	sentimientos	
fetching	atractivo	
few	poco	
finally	por fin	
find	encontrar	
finde	fin de semana 	
finished	finalizado	
first	primero	
flawless	perfecto	
flog	vender algo	
follow	seguir	
follower	seguidor	
followers	seguidores	
following	siguiente	
food	comida	
forever	para siempre	
fortnight	un par de semanas	
forward	adelante	
found	encontrar	
free	libre	
friday	viernes	
friend	amigo	
friends	amigos	
friendspecials	amigo especial	
frightened	asustado	
from	para	
frustrated	frustrado	
fsta	fiesta	
fuck	joder	
fucking	maldito	
full	lleno	
full of beans	lleno de energía	
fun	diversión	
funny	divertido	
game	juego	
get	obtener	
gets	obtener	
getting	obteniendo	
girl	niña	
girlfriend	novia	
girls	niñas	
give	dar	
glad	contento	
go	ir	
goal	objetivo	
gobsmacked	asombrado	
god	dios	
gods	dioses	
gonna	va	
